Model,Price,Rating,Generation,Core,Ram_GB,SSD_GB,Display_Inches,Graphics,OS,Warranty
Honor MagicBook X16 2024 ‎Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),46990.0,54.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,16.0,intel uhd graphics,windows 11 os,1 year warranty
HP Omen 16-xf0081AX Gaming Laptop (AMD Ryzen 7 7840HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),135999.0,,7th gen amd ryzen 7 7840hs,"octa core, 16 threads",32,1.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),34880.0,56.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",16,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),138990.0,79.0,14th gen intel core i7 14700hx,"20 cores (8p + 12e), 28 threads",16,1.0,16.1,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
MSI Titan 18 HX Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ RTX 4090),599990.0,,14th gen intel core i9 14900hx,32 gb ddr5 ram,2,16.0,11.0,"18 inches, 3840 x 2400 pixels",2 year warranty,backlit keyboard
Lenovo IdeaPad Slim 3 83ER008GIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),53490.0,57.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,intel integrated uhd graphics,windows 11 os,1 year warranty
Samsung Galaxy Book 4 Ultra Laptop (Intel Core Ultra 7 155H/ 32 GB RAM/ 1 TB SSD/ 6 GB Graphics),299999.0,75.0,intel core ultra 7 155h,"16 cores (6p + 8e + 2lp-e), 22 threads",32,1.0,16.0,6 gb nvidia geforce rtx 4050,backlit keyboard,nan
HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),65690.0,68.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,1.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Colorful Evol P15 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),89999.0,70.0,12th gen intel core i7 12650h,"10 cores (6p + 4e), 16 threads",16,512.0,15.6,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),399900.0,65.0,apple m3 max,16 cores (12p + 4e),48,1.0,16.2,40 core gpu,mac os,1 year warranty
