Model,Price,Rating,Generation,Core,Ram_GB,SSD_GB,Display_Inches,Graphics,OS,Warranty
Lenovo IdeaPad Slim 1 82VG00EVIN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),32000.0,52.0,7th gen amd ryzen 3 7320u,"quad core, 8 threads",8,512.0,15.6,amd radeon graphics,windows 11 os,1 year warranty
Asus Vivobook 16 2023 X1605VA-MB957WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home),95689.0,66.0,13th gen intel core i9 13900h,"14 cores (6p + 8e), 20 threads",16,1.0,16.0,integrated intel iris xe graphics,windows 11 os,1 year warranty
HP Zbook FireFly 14 G8 4F0W6PA Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 ),89900.0,65.0,11th gen intel core i5 1135g7,"quad core, 8 threads",16,512.0,14.0,intel uhd graphics,windows 11 os,1 year warranty
Dell Inspiron 15 3511 IN35117W5CCS01ORB1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),44890.0,,11th gen intel core i5 1135g7,"quad core, 8 threads",8,512.0,15.6,intel integrated uhd graphics,windows 11  os,1 year warranty
Asus Vivobook S14 Flip TN3402QA-LZ551WS Laptop (AMD Ryzen 5 5600H/ 16GB/ 1TB SSD/Win11),63990.0,55.0,5th gen amd ryzen 5  5600h,"hexa core, 12 threads",16,1.0,14.0,amd radeon graphics,windows 11 os,1 year warranty
Lenovo IdeaPad Gaming 3 82SB00V3IN Laptop (AMD Ryzen 5 6600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),63889.0,60.0,6th gen amd ryzen 5 6600h,"hexa core, 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Asus Vivobook S14 Flip TN3402QA-LZ751WS Laptop (AMD Ryzen 7/ 16GB/ 1TB SSD/Win11),68990.0,59.0,5th gen amd ryzen 7 5800h,"octa core, 16 threads",16,1.0,14.0,amd radeon graphics,windows 11 os,1 year warranty
Lenovo IdeaPad 1 15AMN7 82VG00J5IN Laptop (AMD Ryzen 5 7520U / 8GB/ 512GB SSD/ Win11 Home),37990.0,52.0,7th gen amd ryzen 5 7520u,"quad core, 8 threads",8,512.0,15.6,amd radeon 610m,windows 11 os,1 year warranty
Lenovo Thinkpad T14 Laptop (AMD R7 Pro 4750U/ 16GB/ 512GB SSD/ Win 10 Pro),90000.0,55.0,4th gen amd ryzen 7 pro 4750u,"octa core, 16 threads",16,512.0,14.0,amd radeon graphics,windows 10 os,1 year warranty
Lenovo IdeaPad Gaming 3 82K2028AIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),46490.0,57.0,5th gen amd ryzen 5  5500h,"quad core, 8 threads",8,512.0,15.6,4 gb  nvidia geforce rtx 2050,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 82RK011DIN Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11),32990.0,,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,256.0,15.6,‎intel uhd graphics,windows 11 os,1 year warranty
Dell Vostro 3520 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),42990.0,53.0,11th gen intel core i5 1135g7,"quad core, 8 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
HP 255 G9 724N9EA Laptop (AMD Athlon Silver 3050U/ 4GB/ 256GB SSD/ Win11),21290.0,,3rd gen amd athlon 3050u,"dual core, 2 threads",4,256.0,15.6,amd integrated,windows 11 os,1 year warranty
Lenovo IdeaPad 1 15AMN7 82VG00EQIN Laptop (AMD Athlon 7120U / 8GB/ 512GB SSD/ Win11 Home),26990.0,,amd athlon 7120u,"dual core, 2 threads",8,512.0,15.6,amd radeon 610m graphics,windows 11 os,1 year warranty
Dell Vostro 3530 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),55700.0,52.0,13th gen intel core i5 1335u,"10 cores (2p + 8e), 12 threads",8,512.0,15.6,intel integrated graphics,windows 11 os,1 year warranty
Lenovo V14 G4 Laptop (AMD Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),28990.0,,7th gen amd ryzen 3 7320u,"quad core, 8 threads",8,512.0,14.0,amd radeon,windows 11 os,1 year warranty
Lenovo Thinkpad E15 G4 21DJA0Y0IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),57990.0,59.0,12th gen intel core i7 1255u,"10 cores (2p + 8e), 12 threads",16,512.0,15.6,intel integrated iris xe,windows 11 os,backlit keyboard
Lenovo V15 G3 82TTA02UIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),44990.0,59.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",8,512.0,15.6,intel integrated uhd,windows 11 os,1 year warranty
MSI Creator Z16 HX B13VFTO-215IN Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ RTX4060),219990.0,,13th gen intel core i7 13700hx,"16 cores (8p + 8e), 24 threads",32,1.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,2 year warranty
Dell Vostro 3525 Laptop (AMD Ryzen 5-5500U/ 8GB/ 512GB SSD/ Win11),36990.0,52.0,5th gen amd ryzen 5 5500u,"hexa core, 12 threads",8,512.0,15.6,amd radeon graphics,windows 11 os,1 year warranty
Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),92990.0,64.0,13th gen intel core i5 13450hx,"10 cores (6p + 4e), 16 threads",16,512.0,16.0,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Asus ROG Strix G16 2023 G614JJ-N3088WS Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),94990.0,65.0,13th gen intel core i5 13450hx,"10 cores (6p + 4e), 16 threads",16,1.0,16.0,6 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
MSI Creator Pro M16 B13VJ-1272IN Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11/ 8GB Graph),249990.0,79.0,13th gen intel core i7 13700h,"14 cores (6p + 8e), 20 threads",32,1.0,16.0,8 gb nvidia geforce rtx a2000 ada,windows 11 os,2 year warranty
Lenovo IdeaPad Slim 3i 82X70032IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),43590.0,,13th gen intel core i3 1305u,"5 cores (1p + 4e), 6 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
HP 240 G9 821J4PA Laptop (12th Gen Core i5/ 8GB/ 512 GB SSD/ Win11),64490.0,59.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",8,512.0,14.0,intel integrated,windows 11 os,1 year warranty
Lenovo IdeaPad Flex 5 Gen 8 82XX0070IN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),62990.0,65.0,7th gen amd ryzen 5 7530u,"hexa core, 12 threads",16,512.0,14.0,amd radeon amd,windows 11 os,1 year warranty
Dell Inspiron 3530 15 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),66450.0,52.0,13th gen intel core i5 1335u,"10 cores (2p + 8e), 12 threads",16,1.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
Lenovo IdeaPad 3 82H802L3IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),35232.0,54.0,11th gen intel core i3 1115g4,"dual core, 4 threads",8,512.0,15.6,intel integrated uhd,windows 11 os,1 year warranty
HP ZBook Firefly 16 G9 6V2X7PA Workstation PC Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),124000.0,69.0,12th gen intel core i7 1255u,"10 cores (2p + 8e), 12 threads",16,1.0,16.0,intel iris xe graphics,windows 11 os,1 year warranty
Asus ROG Strix G17 G713RC-HX109WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),79990.0,68.0,6th gen amd ryzen 7 6800h,"octa core, 16 threads",16,512.0,17.3,4 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 82H803HPIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),47490.0,55.0,11th gen intel core i5 1155g7,"quad core, 8 threads",16,512.0,15.6,intel iris xe graphics,windows 11 os,1 year warranty
HP Victus 15-fa1132TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),59990.0,62.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",8,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Infinix INBook X2 Slim Series XL23 2023 Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win 11 Home),36990.0,55.0,11th gen intel core i5 1155g7,"quad core, 8 threads",16,1.0,14.0,intel integrated iris xe,windows 11 os,1 year warranty
Lenovo IdeaPad Gaming 3 15IHU6 82K101PCIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),50990.0,60.0,11th gen intel core i5 11320h,"quad core, 8 threads",8,512.0,15.6,4 gb nvidia geforce gtx 2050,windows 11 os,1 year warranty
Acer Aspire Lite 15 AL15-51 Laptop (11th Gen Core i3/16GB/ 512GB SSD/ Win11),35499.0,57.0,11th gen intel core i3 1115g4,"dual core, 4 threads",16,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
Lenovo Yoga 6 13ABR8 83B2007UIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),86190.0,66.0,7th gen amd ryzen 7 7730u,"octa core, 16 threads",16,1.0,13.3,amd radeon graphics,windows 11 os,1 year warranty
Lenovo IdeaPad Flex 5 82R900D4IN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),64990.0,60.0,5th gen amd ryzen 7 5700u,"octa core, 16 threads",16,512.0,14.0,amd radeon,windows 11 os,1 year warranty
Ultimus Neo NU14U3INT54BN Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/Win11 Home),22000.0,,10th gen intel core i3 1005g1,"dual core, 4 threads",8,256.0,14.1,intel integrated iris,windows 11 os,1 year warranty
Microsoft Surface Laptop Go 3 (12th Gen Core i5/ 16 GB RAM/ 256 GB SSD/ Win 11),89990.0,56.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",16,256.0,12.4,intel iris xe graphics,windows 11 os,1 year warranty
HP Victus 15-fb0158AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),50490.0,63.0,5th gen amd ryzen 5  5600h,"hexa core, 12 threads",8,512.0,15.6,4 gb amd radeon rx 6500m,windows 11 os,1 year warranty
Lenovo Legion Slim 5 16APH8 82Y90042IN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),128990.0,78.0,7th gen amd ryzen 7 7840hs,"octa core, 16 threads",16,512.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
Lenovo IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),50990.0,63.0,11th gen intel core i5 11320h,"quad core, 8 threads",8,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Lenovo Legion Slim 5 82Y9009KIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),114190.0,75.0,7th gen amd ryzen 7 7840hs,"octa core, 16 threads",16,512.0,16.0,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
HP Pavilion x360 14-ek1021TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),89990.0,65.0,13th gen intel core i7 1355u,"10 cores (2p + 8e), 12 threads",16,512.0,14.0,intel integrated iris xe,windows 11 os,1 year warranty
Lenovo IdeaPad Gaming 3 15IAH7 82S9014LIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),67990.0,63.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),97000.0,66.0,13th gen intel core i5 13500h,"12 cores (4p + 8e), 16 threads",16,512.0,15.6,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
Lenovo S14 Gen 3 82TW001DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),47990.0,51.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",8,512.0,14.0,intel uhd graphics,windows 11 os,3 year warranty
Lenovo Yoga Pro 7 82Y700A2IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),104900.0,61.0,13th gen intel core i7 13700h,"14 cores (6p + 8e), 20 threads",16,1.0,14.5,integrated intel iris xe graphics,windows 11 os,1 year warranty
HP 15-fc0027AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),36990.0,52.0,7th gen amd ryzen 3 7320u,"quad core, 8 threads",8,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
Lenovo Legion Slim 5 16APH8 82Y9008MIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),130990.0,79.0,7th gen amd ryzen 7 7840hs,"octa core, 16 threads",16,512.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
Acer Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),40990.0,,13th gen intel core i3 1305u,"5 cores (1p + 4e), 6 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
HP Spectre 17-cs0097nr Foldable Laptop (12th Gen Core i7/ 16 GB RAM/ 1 TB SSD/ Win 11),415000.0,66.0,12th gen intel core i7 1250u,"10 cores (2p + 8e), 12 threads",16,1.0,17.0,intel iris xe graphics,windows 11 os,1 year warranty
Asus VivoBook 15 X515MA-BR022WS Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),27490.0,,intel celeron n4020,"dual core, 2 threads",8,512.0,15.6,intel integrated uhd 600,windows os,1 year warranty
Fujitsu CH‎ 4ZR1L82433 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),59806.0,61.0,13th gen intel core i5 1334u,"10 cores (2p + 8e), 12 threads",16,512.0,13.3,intel iris xe graphics,windows 11 os,2 year warranty
Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),28990.0,53.0,11th gen intel core i3 1115g4,"dual core, 4 threads",8,256.0,15.6,intel integrated uhd,windows 11 os,1 year warranty
Fujitsu CH‎ 4ZR1L82434 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),69990.0,62.0,13th gen intel core i7 1355u,"10 cores (2p + 8e), 12 threads",16,512.0,13.3,intel iris xe graphics,windows 11 os,2 year warranty
Asus Vivobook 15 X1502ZA-EJ993WS Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),39990.0,54.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",16,512.0,15.6,intel integrated uhd,windows 11 os,1 year warranty
Asus Vivobook 15X OLED M3504YA-LK752WS Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),62990.0,63.0,7th gen amd ryzen 7  7730u,"octa core, 16 threads",16,1.0,15.6,integrated amd radeon graphics,windows 11 os,1 year warranty
Asus Vivobook 15 X1504ZA-NJ542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),50990.0,56.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",16,512.0,15.6,intel iris xe graphics,windows 11 os,1 year warranty
HP Pavilion 15-eg3018TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),72990.0,55.0,13th gen intel core i5 1335u,"10 cores (2p + 8e), 12 threads",16,1.0,15.6,intel integrated intel iris xe graphics,windows 11 os,1 year warranty
Acer Nitro V ANV15-51 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),75990.0,56.0,13th gen intel core i5 13420h,"octa core (4p + 4e), 12 threads",8,512.0,15.6,6 gb nvidia geforce rtx 4050,windows 11 os,1 year warranty
HP 15s-fq3066TU Laptop (Intel Celeron N4500/ 8GB/ 512GB SSD/ Win11 Home),28990.0,,intel celeron n4500,"dual core, 2 threads",8,512.0,15.6,intel integrated uhd,windows 11 os,1 year warranty
Asus Vivobook Pro 15 M6500RC-HN741WS Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),72990.0,66.0,6th gen amd ryzen 7 6800h,"octa core, 16 threads",16,512.0,15.6,4 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
HP Victus 15-fb1016AX  Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),62500.0,63.0,7th gen amd ryzen 5 7535hs,"hexa core, 12 threads",8,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Lenovo Ideapad 3 15ITL06 82H803GUIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),36890.0,,11th gen intel core i3 1115g4,"dual core, 4 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
Lenovo IdeaPad Flex 5 82Y00053IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),87990.0,55.0,13th gen intel core i7 1355u,"10 cores (2p + 8e), 12 threads",16,512.0,14.0,‎intel iris xe graphics,windows 11 os,1 year warranty
Lenovo Yoga 7 82YM0074IN Laptop (AMD Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win11 Home),94190.0,75.0,7th gen amd ryzen 7 7735u,"octa core, 16 threads",16,1.0,14.0,amd radeon graphics,windows 11 os,1 year warranty
Lenovo IdeaPad 3 82H803HRIN Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),59990.0,55.0,11th gen intel core i7 1165g7,"quad core, 8 threads",16,512.0,15.6,integrated intel iris xe graphics,windows 11 os,1 year warranty
HP 250 G9 7N179PA Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),49990.0,53.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",8,512.0,15.6,intel iris xe graphics,windows 11 os,1 year warranty
Asus Vivobook Pro 15 M6500QC-HN551WS Laptop (AMD Ryzen 5 5600HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),69990.0,59.0,5th gen amd ryzen 5 5600hs,"hexa core, 12 threads",16,1.0,15.6,4 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Lenovo Thinkpad E15 21E6S07S00 Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11),77990.0,59.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",16,512.0,15.6,intel iris xe graphics,windows 11 os,1 year warranty
Asus Vivobook Pro 15 M6500QC-HN751WS Laptop (AMD Ryzen 7 5800HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),72990.0,60.0,5th gen amd ryzen 7 5800hs,"octa core, 16 threads",16,1.0,15.6,4 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Lenovo Ideapad Slim 5 82XF007CIN Laptop (13th Gen Core i5/ 16 GB RAM/ 1 TB SSD/ Win 11),71990.0,53.0,13th gen intel core i5 13500h,"12 cores (4p + 8e), 16 threads",16,1.0,16.0,intel iris xe graphics,windows 11 os,1 year warranty
HP 255 G9 841W6PA Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ FreeDOS),23999.0,,3rd gen amd ryzen 3  3250u,"dual core, 4 threads",8,512.0,15.6,amd radeon graphics,dos 3.0 os,1 year warranty
Lenovo IdeaPad Slim 5i 83BG000DIN Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11),62190.0,54.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,16.0,intel uhd graphics,windows 11 os,1 year warranty
Asus Vivobook 16X 2023 K3605ZC-MBN752WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),82990.0,69.0,12th gen intel core i7 12650h,"10 cores (6p + 4e), 16 threads",16,1.0,16.0,4 gb nvidia geforce rtx 3050,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 82RK00VVIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37990.0,,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,512.0,15.6,‎intel uhd graphics,windows 11 os,1 year warranty
Gigabyte G5 MF-F2IN313SH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),71990.0,64.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,15.6,6 gb nvidia geforce rtx 4050,windows 11 os,2 year warranty
HP Victus 15-FB1001AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),54990.0,66.0,7th gen amd ryzen 5 7535hs,"hexa core, 12 threads",8,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Dell Inspiron 3530 IN3530RW8JY001ORS1 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),57890.0,,13th gen intel core i5 1335u,"10 cores (2p + 8e), 12 threads",8,1.0,15.6,intel integrated integrated intel® uhd graphics,windows 11 os,1 year warranty
Dell Inspiron 3520 IN3520KTMFJS1ORGR1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),38990.0,50.0,11th gen intel core i3 1115g4,"dual core, 4 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
Acer Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),51990.0,64.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",8,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
Lenovo Legion 9i 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),399999.0,,13th gen intel core i9 13980hx,"24 cores (8p + 16e), 32 threads",32,1.0,16.0,16 gb nvidia geforce rtx 4090,windows 11 os,1 year warranty
Asus TUF Gaming F15 90NR0GW1-M00F00 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),86990.0,60.0,12th gen intel core i7 12700h,20 threads,16,1.0,15.6,4 gb ‎nvidia geforce rtx 3050,windows 11  os,1 year warranty
HP 250 G9 7M659PA Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),34990.0,57.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,512.0,15.6,intel integrated,windows 11 os,1 year warranty
Asus Vivobook 16 2023 X1605ZAB-MB322WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),40739.0,53.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,512.0,16.0,intel integrated uhd,windows 11 os,1 year warranty
Asus Vivobook 16X 2023 K3605ZV-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),99990.0,69.0,12th gen intel core i7 12650h,"10 cores (6p + 4e), 16 threads",16,512.0,16.0,nvidia geforce rtx,windows 11 os,1 year warranty
Asus Chromebook CX1400FKA-EC0158 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),25751.0,,intel celeron n4500,"dual core, 2 threads",4,64.0,14.0,intel integrated uhd,chrome os,1 year warranty
Asus Chromebook CX1400CKA-EK0257 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),14990.0,,intel celeron n4500,"dual core, 2 threads",4,64.0,14.0,intel integrated uhd,chrome os,1 year warranty
Lenovo IdeaPad 1 15IGL7 82V700BSIN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),26490.0,,4th gen intel celeron n4020,"dual core, 2 threads",8,256.0,15.6,integrated intel uhd graphics 600,windows 11 os,1 year warranty
Gigabyte G6 KF Gaming Laptop (13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics),130000.0,68.0,13th gen intel core i7 13620h,"10 cores (6p + 4e), 16 threads",16,512.0,16.0,8 gb nvidia geforce rtx 4060,windows 11 os,backlit keyboard
HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),46150.0,59.0,5th gen amd ryzen 5 5500u,"hexa core, 12 threads",16,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
Gigabyte G5 KF-E3IN313SH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 8GB Graph),86990.0,69.0,12th gen intel core i5 12500h,"12 cores (4p + 8e), 16 threads",8,512.0,15.6,8 gb nvidia geforce rtx 4060,windows 11 os,2 year warranty
Lenovo IdeaPad Flex 5 82Y0004YIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),59190.0,55.0,13th gen intel core i3 1315u,"hexa core (2p + 4e), 8 threads",8,512.0,14.0,intel integrated uhd graphics,windows 11 os,1 year warranty
Lenovo ThinkBook 15 G3 ACL 21A4003KUS Laptop (AMD Ryzen 7 5700U/ 16GB/ 512 GB SSD/ Win11 Home),48990.0,55.0,5th gen amd ryzen 7  5700u,"octa core, 16 threads",16,512.0,15.6,amd radeon amd,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 5 16IAH8 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),62190.0,60.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,16.0,intel uhd graphics,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 5 82XX007MIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),69190.0,64.0,7th gen amd ryzen 7 7730u,"octa core, 16 threads",16,512.0,14.0,amd integrated soc,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),59690.0,56.0,12th gen intel core i5 12450h,"octa core (4p + 4e), 12 threads",16,512.0,14.0,intel uhd graphics,windows 11 os,1 year warranty
Acer Predator Helios Neo 16 2023 PHN16-71 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),179990.0,73.0,13th gen intel core i9 13900hx,"24 cores (8p + 16e), 32 threads",16,1.0,16.0,8 gb nvidia geforce rtx 4070,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 5 82XE0072IN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),61190.0,64.0,7th gen amd ryzen 7 7730u,"octa core, 16 threads",16,512.0,14.0,amd integrated soc,windows 11 os,1 year warranty
Lenovo IdeaPad Slim 3 82XQ008UIN Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),41290.0,54.0,7th gen amd ryzen 5 7520u,"quad core, 8 threads",8,512.0,15.6,amd radeon 610m graphics,windows 11 os,1 year warranty
